Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.846,  0.07,  2.37,1, 36.68,    14
 0.041,  0.00,  0.00,0,  0.00,     0
 0.703,  0.02,  0.00,0,  0.00,    27
 0.698,  0.01,  0.00,0,  0.00,    86
 0.385,  0.02,  0.00,0,  0.00,    51
 0.105,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.264,  0.03,  0.00,0,  0.00,    46
 0.210,  0.04,  0.00,0,  0.00,    17
 0.068,  0.00,  0.00,0,  0.00,     0
 0.276,  0.02,  0.00,0,  0.00,    36
 0.142,  0.05,  0.00,0,  0.00,     0
 0.263,  0.02,  0.00,0,  0.00,    15
 0.099,  0.00,  0.00,0,  0.00,     0
 0.312,  0.23,  0.00,0,  0.00,     0
 0.324,  0.04,  0.00,0,  0.00,    19
 0.119,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.191,  0.04,  0.00,0,  0.00,    24
 1.026,  0.01,  0.00,0,  0.00,    24
 0.068,  0.00,  0.00,0,  0.00,     0
 0.174,  0.01,  0.00,0,  0.00,     0
 0.325,  0.01,  0.00,0,  0.00,    17
 0.068,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.175,  0.45,  0.00,0,  0.00,     0
 0.186,  0.00,  0.00,0,  0.00,     0
 0.114,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.277,  0.02,  0.00,0,  0.00,    29
 0.288,  0.33,  0.00,0,  0.00,    56
 0.281,  0.15,  0.00,0,  0.00,    28
 0.326,  0.04,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.248,  0.02,  0.00,0,  0.00,    29
 0.099,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.186,  0.00,  0.00,0,  0.00,     0
 0.563,  0.02,  0.00,0,  0.00,    31
 1.002,  0.01,  0.00,0,  0.00,    55
 0.934,  0.03,  0.00,0,  0.00,    69
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.134,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.559,  0.03,  0.00,0,  0.00,    17
 0.227,  0.42,  0.00,0,  0.00,     0
 0.090,  0.00,  0.00,0,  0.00,     0
 0.117,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.235,  0.02,  0.00,0,  0.00,    15
 0.081,  0.00,  0.00,0,  0.00,     0
 0.199,  0.02,  0.00,0,  0.00,    21
 0.770,  0.02,  0.00,0,  0.00,    32
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.142,  0.05,  0.00,0,  0.00,     0
 0.179,  0.11,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.187,  0.02,  0.00,0,  0.00,    10
 0.197,  0.03,  0.00,0,  0.00,    28
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.200,  0.01,  0.00,0,  0.00,     0
 0.747,  0.03,  0.00,0,  0.00,    15
 0.087,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.221,  0.13,  0.00,0,  0.00,    18
 0.081,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.877,  0.05,  2.28,1, 27.17,    42
 0.041,  0.00,  0.00,0,  0.00,     0
 0.279,  0.03,  0.00,0,  0.00,    30
 0.382,  0.04,  0.00,0,  0.00,    23
 1.393,  0.01,  0.00,0,  0.00,    28
 0.182,  0.04,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.236,  0.02,  0.00,0,  0.00,    11
 0.054,  0.00,  0.00,0,  0.00,     0
 0.236,  0.03,  0.00,0,  0.00,    20
 0.041,  0.00,  0.00,0,  0.00,     0
 0.249,  0.02,  0.00,0,  0.00,    54
 0.277,  0.02,  0.00,0,  0.00,    31
 0.155,  0.03,  0.00,0,  0.00,     0
 0.840,  0.16,  3.57,1, 56.31,    91
 0.114,  0.00,  0.00,0,  0.00,     0
 0.294,  0.03,  0.00,0,  0.00,    14
 0.167,  0.03,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.116,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.293,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.221,  0.11,  0.00,0,  0.00,    48
 0.303,  0.02,  0.00,0,  0.00,    26
 0.196,  0.03,  0.00,0,  0.00,    34
 0.156,  0.03,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.309,  0.20,  0.00,0,  0.00,    81
 0.182,  0.04,  0.00,0,  0.00,    22
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.426,  0.12,  0.00,0,  0.00,    63
 0.236,  0.03,  0.00,0,  0.00,    13
 0.140,  0.04,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.234,  0.03,  0.00,0,  0.00,    51
 0.332,  0.03,  0.00,0,  0.00,    33
 0.345,  0.05,  0.00,0,  0.00,    30
 0.100,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.116,  0.00,  0.00,0,  0.00,     0
 0.212,  0.04,  0.00,0,  0.00,    33
 0.128,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.236,  0.03,  0.00,0,  0.00,    38
 0.473,  0.02,  0.00,0,  0.00,    14
 0.041,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.525,  0.02,  0.00,0,  0.00,    34
 0.483,  0.26,  0.00,0,  0.00,    39
 0.092,  0.00,  0.00,0,  0.00,     0
 0.357,  0.02,  0.00,0,  0.00,    24
 0.100,  0.00,  0.00,0,  0.00,     0
 0.651,  0.15,  3.07,1, 29.98,    55
 0.354,  0.04,  0.00,0,  0.00,    59
 0.383,  0.01,  0.00,0,  0.00,    55
 0.054,  0.00,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.175,  0.04,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.224,  0.02,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.257,  0.08,  0.00,0,  0.00,    31
 0.138,  0.00,  0.00,0,  0.00,     0
 0.209,  0.03,  0.00,0,  0.00,    27
 0.068,  0.00,  0.00,0,  0.00,     0
 0.319,  0.03,  0.00,0,  0.00,    26
 0.360,  0.02,  0.00,0,  0.00,    33
 0.086,  0.00,  0.00,0,  0.00,     0
 0.246,  0.04,  0.00,0,  0.00,    25
 0.113,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.155,  0.04,  0.00,0,  0.00,     0
 0.142,  0.03,  0.00,0,  0.00,     0
 0.421,  0.00,  0.00,0,  0.00,     0
 0.605,  0.02,  0.00,0,  0.00,    20
 0.158,  0.00,  0.00,0,  0.00,     0
 0.108,  0.00,  0.00,0,  0.00,     0
 0.889,  0.12,  1.13,1, 23.78,   166
 0.306,  0.02,  0.00,0,  0.00,    31
 0.180,  0.02,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.597,  0.03,  1.68,1, 21.75,    18
 0.427,  0.02,  0.00,0,  0.00,    22
 0.195,  0.03,  0.00,0,  0.00,    26
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.373,  2.66,  0.00,0,  0.00,     0
 0.249,  0.02,  0.00,0,  0.00,    26
 0.086,  0.00,  0.00,0,  0.00,     0
 0.169,  0.05,  0.00,0,  0.00,     0
 0.236,  0.02,  0.00,0,  0.00,    23
 0.054,  0.00,  0.00,0,  0.00,     0
 0.117,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.690,  0.11,  2.90,1, 30.24,    45
 0.239,  0.02,  0.00,0,  0.00,    80
 0.349,  0.03,  0.00,0,  0.00,    23
 1.023,  0.03,  1.95,2, 41.96,    13
 0.054,  0.00,  0.00,0,  0.00,     0
 0.201,  0.06,  0.00,0,  0.00,    23
 0.068,  0.00,  0.00,0,  0.00,     0
 0.159,  0.05,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.342,  0.01,  0.00,0,  0.00,    51
 0.119,  0.00,  0.00,0,  0.00,     0
 0.179,  0.10,  0.00,0,  0.00,     0
 0.223,  0.03,  0.00,0,  0.00,    30
 0.320,  0.03,  0.00,0,  0.00,    23
 0.834,  0.01,  0.00,0,  0.00,    26
 0.101,  0.00,  0.00,0,  0.00,     0
 0.566,  0.03,  0.00,0,  0.00,    27
 0.223,  0.02,  0.00,0,  0.00,    13
 0.413,  0.02,  0.00,0,  0.00,    16
 0.196,  0.04,  0.00,0,  0.00,    26
 0.169,  0.05,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.223,  0.02,  0.00,0,  0.00,    65
 0.239,  0.03,  0.00,0,  0.00,    54
 0.142,  0.03,  0.00,0,  0.00,     0
 0.209,  0.03,  0.00,0,  0.00,    28
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.154,  0.03,  0.00,0,  0.00,     0
 0.263,  0.27,  0.00,0,  0.00,    15
 0.054,  0.00,  0.00,0,  0.00,     0
 0.808,  0.02,  0.00,0,  0.00,    29
 0.054,  0.00,  0.00,0,  0.00,     0
 0.140,  0.04,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.421,  0.15,  0.00,0,  0.00,    34
 0.215,  0.00,  0.00,0,  0.00,     0
 0.090,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.239,  0.02,  0.00,0,  0.00,    33
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 1.622,  0.37,  1.85,2, 72.53,    21
 0.041,  0.00,  0.00,0,  0.00,     0
 0.239,  0.04,  0.00,0,  0.00,    33
 0.068,  0.00,  0.00,0,  0.00,     0
 0.303,  0.25,  0.00,0,  0.00,    33
 0.140,  0.03,  0.00,0,  0.00,     0
 0.821,  0.22,  0.00,0,  0.00,    95
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.115,  0.00,  0.00,0,  0.00,     0
 0.116,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.279,  0.03,  0.00,0,  0.00,    20
 0.181,  0.03,  0.00,0,  0.00,    14
 0.325,  0.42,  0.00,0,  0.00,    25
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.541,  0.06,  3.69,1, 32.46,    40
 0.521,  0.02,  0.00,0,  0.00,    33
 0.115,  0.00,  0.00,0,  0.00,     0
 1.087,  0.02,  0.00,0,  0.00,    27
 0.662,  0.02,  0.00,0,  0.00,    28
 0.176,  0.06,  0.00,0,  0.00,     0
 1.142,  0.04,  0.88,1, 21.67,    21
 0.221,  0.03,  0.00,0,  0.00,    29
 0.081,  0.00,  0.00,0,  0.00,     0
 0.330,  0.02,  0.00,0,  0.00,    26
 0.323,  0.20,  0.00,0,  0.00,    39
 0.114,  0.00,  0.00,0,  0.00,     0
 0.875,  0.03,  1.14,1, 21.16,    26
 0.041,  0.00,  0.00,0,  0.00,     0
 0.694,  0.14,  2.88,1, 44.21,    26
 0.211,  0.03,  0.00,0,  0.00,    26
 0.261,  0.02,  0.00,0,  0.00,    31
 0.068,  0.00,  0.00,0,  0.00,     0
 0.801,  0.17,  2.50,1, 27.71,    38
 0.200,  0.03,  0.00,0,  0.00,    27
 0.115,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.590,  0.02,  0.00,0,  0.00,    22
 0.081,  0.00,  0.00,0,  0.00,     0
 0.440,  0.02,  0.00,0,  0.00,    36
 0.114,  0.00,  0.00,0,  0.00,     0
 0.099,  0.00,  0.00,0,  0.00,     0
 0.127,  0.00,  0.00,0,  0.00,     0
 0.212,  0.02,  0.00,0,  0.00,    26
 0.126,  0.00,  0.00,0,  0.00,     0
 0.102,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.257,  0.03,  0.00,0,  0.00,    55
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.780,  0.13,  0.00,0,  0.00,    57
 0.494,  0.02,  0.00,0,  0.00,    24
 0.068,  0.00,  0.00,0,  0.00,     0
 0.244,  0.00,  0.00,0,  0.00,     0
 0.186,  0.03,  0.00,0,  0.00,    16
 0.041,  0.00,  0.00,0,  0.00,     0
 0.167,  0.03,  0.00,0,  0.00,     0
 0.405,  0.02,  0.00,0,  0.00,    37
 0.871,  0.03,  0.00,0,  0.00,    89
 1.585,  0.10,  1.89,2, 57.21,   254
 0.472,  0.21,  2.12,1, 24.19,   287
 0.041,  0.00,  0.00,0,  0.00,     0
 0.989,  0.03,  0.00,0,  0.00,    27
 0.086,  0.00,  0.00,0,  0.00,     0
 0.114,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.169,  0.05,  0.00,0,  0.00,     0
 0.209,  0.03,  0.00,0,  0.00,    28
 0.041,  0.00,  0.00,0,  0.00,     0
 0.302,  0.02,  0.00,0,  0.00,    21
 0.054,  0.00,  0.00,0,  0.00,     0
 0.219,  0.05,  0.00,0,  0.00,    47
 0.113,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.291,  0.02,  0.00,0,  0.00,    32
 0.419,  0.03,  0.00,0,  0.00,    21
 0.103,  0.00,  0.00,0,  0.00,     0
 0.415,  0.03,  0.00,0,  0.00,    34
 0.124,  0.00,  0.00,0,  0.00,     0
 0.099,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.146,  0.00,  0.00,0,  0.00,     0
 0.297,  0.16,  0.00,0,  0.00,     0
 0.184,  0.04,  0.00,0,  0.00,    23
 0.223,  0.02,  0.00,0,  0.00,    36
 0.267,  0.02,  0.00,0,  0.00,    36
 0.086,  0.00,  0.00,0,  0.00,     0
 0.159,  1.40,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 1.023,  0.14,  0.00,0,  0.00,    71
 0.330,  0.02,  0.00,0,  0.00,    14
 0.068,  0.00,  0.00,0,  0.00,     0
 0.848,  0.15,  0.00,0,  0.00,   114
 0.433,  0.03,  0.00,0,  0.00,    30
 0.100,  0.00,  0.00,0,  0.00,     0
 0.842,  0.02,  0.00,0,  0.00,    34
 0.116,  0.00,  0.00,0,  0.00,     0
 0.211,  0.03,  0.00,0,  0.00,    15
 0.202,  0.03,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.467,  0.02,  0.00,0,  0.00,    26
 0.154,  0.03,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.131,  0.00,  0.00,0,  0.00,     0
 0.163,  0.04,  0.00,0,  0.00,     0
 0.160,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.089,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.317,  0.02,  0.00,0,  0.00,    25
 0.180,  0.03,  0.00,0,  0.00,    12
 0.081,  0.00,  0.00,0,  0.00,     0
 0.164,  0.03,  0.00,0,  0.00,     0
 0.192,  0.28,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.105,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.144,  0.04,  0.00,0,  0.00,     0
 0.120,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.169,  0.05,  0.00,0,  0.00,     0
 0.153,  0.03,  0.00,0,  0.00,     0
 0.088,  0.00,  0.00,0,  0.00,     0
 0.434,  0.03,  0.00,0,  0.00,    18
 0.794,  0.03,  1.26,1, 20.47,    20
 0.299,  0.00,  0.00,0,  0.00,    29
 0.264,  0.03,  0.00,0,  0.00,    13
 0.249,  0.00,  0.00,0,  0.00,    23
 0.445,  0.03,  0.00,0,  0.00,    27
 0.202,  0.06,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.142,  0.05,  0.00,0,  0.00,     0
 0.412,  0.22,  0.00,0,  0.00,    51
 0.202,  0.16,  0.00,0,  0.00,     0
 1.152,  0.07,  0.00,0,  0.00,   101
 0.086,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.116,  0.00,  0.00,0,  0.00,     0
 0.163,  1.47,  0.00,0,  0.00,     0
 0.174,  0.04,  0.00,0,  0.00,     0
 0.249,  0.02,  0.00,0,  0.00,    20
 0.241,  0.11,  0.00,0,  0.00,     0
 0.145,  0.00,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.182,  0.04,  0.00,0,  0.00,    25
 0.248,  0.02,  0.00,0,  0.00,    20
 0.384,  0.33,  0.00,0,  0.00,    59
 0.628,  0.17,  3.19,1, 36.92,    53
 0.113,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.867,  0.02,  0.00,0,  0.00,    19
 0.068,  0.00,  0.00,0,  0.00,     0
 0.605,  0.02,  0.00,0,  0.00,    21
 0.209,  0.03,  0.00,0,  0.00,    26
 0.388,  0.03,  0.00,0,  0.00,    14
 1.090,  0.04,  2.75,2, 45.87,    24
 0.430,  0.08,  0.00,0,  0.00,    22
 0.323,  0.03,  0.00,0,  0.00,    18
 0.639,  0.03,  0.00,0,  0.00,    15
 0.224,  0.04,  0.00,0,  0.00,    12
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.111,  0.00,  0.00,0,  0.00,     0
 0.234,  0.32,  0.00,0,  0.00,    36
 1.327,  0.03,  3.01,2, 48.77,    24
 0.540,  0.18,  0.00,0,  0.00,    61
 0.087,  0.00,  0.00,0,  0.00,     0
 0.103,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.465,  0.01,  0.00,0,  0.00,    30
 0.369,  0.01,  0.00,0,  0.00,    38
 0.484,  0.02,  0.00,0,  0.00,    17
 0.822,  0.01,  0.00,0,  0.00,    27
 0.225,  0.04,  0.00,0,  0.00,    17
 0.398,  0.01,  0.00,0,  0.00,    18
 0.142,  0.05,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 1.035,  0.01,  0.00,0,  0.00,    23
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 1.317,  0.02,  0.00,0,  0.00,    27
 0.086,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.148,  0.01,  0.00,0,  0.00,     0
 0.248,  0.03,  0.00,0,  0.00,    22
 0.398,  0.02,  0.00,0,  0.00,    50
 0.335,  0.02,  0.00,0,  0.00,    33
 0.574,  0.01,  0.00,0,  0.00,    22
 0.657,  0.18,  4.57,1, 59.65,    21
 0.324,  0.03,  0.00,0,  0.00,    16
 0.415,  0.51,  0.00,0,  0.00,    45
 0.187,  0.04,  0.00,0,  0.00,    43
 0.195,  0.00,  0.00,0,  0.00,    21
 0.429,  0.02,  0.00,0,  0.00,    13
 0.234,  0.07,  0.00,0,  0.00,     0
 0.140,  0.04,  0.00,0,  0.00,     0
 0.142,  0.05,  0.00,0,  0.00,     0
 0.897,  0.02,  0.00,0,  0.00,    50
 0.054,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.251,  0.03,  0.00,0,  0.00,    28
 0.349,  1.18,  0.00,0,  0.00,     0
 0.289,  0.02,  0.00,0,  0.00,    25
 0.086,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.329,  0.01,  0.00,0,  0.00,    22
 0.130,  0.00,  0.00,0,  0.00,     0
 0.548,  0.07,  3.65,1, 38.78,    26
 0.194,  0.03,  0.00,0,  0.00,    25
 0.142,  0.05,  0.00,0,  0.00,     0
 0.207,  0.02,  0.00,0,  0.00,    15
 0.433,  0.24,  0.00,0,  0.00,    89
 0.114,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.285,  0.00,  0.00,0,  0.00,     0
 0.491,  0.02,  0.00,0,  0.00,    33
 0.054,  0.00,  0.00,0,  0.00,     0
 0.153,  0.03,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.161,  0.04,  0.00,0,  0.00,     0
 1.114,  0.01,  0.00,0,  0.00,    25
 0.438,  0.01,  0.00,0,  0.00,    32
 0.156,  0.05,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.501,  0.00,  0.00,0,  0.00,    27
 0.127,  0.00,  0.00,0,  0.00,     0
 0.143,  0.03,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.290,  0.02,  0.00,0,  0.00,    30
 0.209,  0.01,  0.00,0,  0.00,    22
 0.470,  0.19,  6.39,1, 62.90,    28
 0.140,  0.04,  0.00,0,  0.00,     0
 0.099,  0.00,  0.00,0,  0.00,     0
 0.467,  0.02,  0.00,0,  0.00,    23
 0.215,  0.06,  0.00,0,  0.00,    15
 0.054,  0.00,  0.00,0,  0.00,     0
 0.091,  0.00,  0.00,0,  0.00,     0
 0.622,  0.02,  0.00,0,  0.00,    22
 0.041,  0.00,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.183,  0.03,  0.00,0,  0.00,    14
 0.224,  0.02,  0.00,0,  0.00,    28
 0.260,  0.05,  0.00,0,  0.00,    17
 0.101,  0.00,  0.00,0,  0.00,     0
 0.426,  0.02,  0.00,0,  0.00,    39
 0.054,  0.00,  0.00,0,  0.00,     0
 1.155,  0.02,  0.00,0,  0.00,    28
 0.568,  0.03,  1.76,1, 20.50,    24
 0.154,  0.03,  0.00,0,  0.00,     0
 0.421,  0.03,  0.00,0,  0.00,    29
 0.153,  0.03,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.182,  0.04,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.415,  0.14,  0.00,0,  0.00,    66
 0.303,  0.02,  0.00,0,  0.00,    37
 0.363,  0.19,  0.00,0,  0.00,    35
 0.241,  0.78,  0.00,0,  0.00,     0
 1.221,  0.24,  4.10,2, 99.80,    89
 0.041,  0.00,  0.00,0,  0.00,     0
 0.099,  0.00,  0.00,0,  0.00,     0
 0.323,  0.04,  0.00,0,  0.00,    24
 0.081,  0.00,  0.00,0,  0.00,     0
 0.163,  0.52,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.224,  0.04,  0.00,0,  0.00,    11
 0.111,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.191,  0.54,  0.00,0,  0.00,     0
 0.308,  0.28,  0.00,0,  0.00,     0
 0.372,  0.02,  0.00,0,  0.00,    21
 0.141,  0.04,  0.00,0,  0.00,     0
 0.184,  0.04,  0.00,0,  0.00,     0
 0.185,  0.04,  0.00,0,  0.00,     0
 0.386,  0.02,  0.00,0,  0.00,    21
 0.210,  0.03,  0.00,0,  0.00,    39
 0.144,  0.01,  0.00,0,  0.00,     0
 0.488,  0.03,  0.00,0,  0.00,    47
 0.086,  0.00,  0.00,0,  0.00,     0
 0.172,  0.08,  0.00,0,  0.00,     0
 1.081,  0.02,  0.00,0,  0.00,    22
 0.126,  0.00,  0.00,0,  0.00,     0
 0.305,  0.03,  0.00,0,  0.00,    35
 0.041,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.170,  0.04,  0.00,0,  0.00,     0
 0.414,  0.04,  0.00,0,  0.00,    21
 0.250,  0.02,  0.00,0,  0.00,    12
 1.018,  0.05,  0.00,0,  0.00,    19
 0.081,  0.00,  0.00,0,  0.00,     0
