Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.156,  0.05,  0.00,0,  0.00,     0
 0.594,  0.02,  0.00,0,  0.00,    22
 0.620,  0.02,  0.00,0,  0.00,    69
 0.041,  0.00,  0.00,0,  0.00,     0
 0.231,  0.04,  0.00,0,  0.00,    22
 0.086,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.155,  0.04,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.176,  0.00,  0.00,0,  0.00,     0
 1.604,  0.06,  2.49,2, 61.14,   100
 0.054,  0.00,  0.00,0,  0.00,     0
 0.230,  0.07,  0.00,0,  0.00,    37
 0.041,  0.00,  0.00,0,  0.00,     0
 0.279,  0.03,  0.00,0,  0.00,    28
 0.697,  0.03,  1.44,1, 20.81,    30
 0.313,  0.45,  0.00,0,  0.00,    36
 0.207,  0.02,  0.00,0,  0.00,    35
 0.054,  0.00,  0.00,0,  0.00,     0
 0.827,  0.16,  3.63,1, 58.28,    24
 0.102,  0.00,  0.00,0,  0.00,     0
 0.371,  0.02,  0.00,0,  0.00,    36
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.224,  0.17,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.227,  0.05,  0.00,0,  0.00,    19
 0.476,  1.12,  0.00,0,  0.00,   105
 0.194,  0.03,  0.00,0,  0.00,    15
 0.153,  0.00,  0.00,0,  0.00,     0
 0.105,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.137,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.202,  0.06,  0.00,0,  0.00,    31
 0.094,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.115,  0.00,  0.00,0,  0.00,     0
 0.221,  0.02,  0.00,0,  0.00,    14
 0.340,  0.03,  0.00,0,  0.00,    49
 0.054,  0.00,  0.00,0,  0.00,     0
